Song Name,Artist,Genre,Popularity,Danceability ,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence
Tattoo - Remix with Camilo,Rauw Alejandro,"['puerto rican pop', 'trap latino']",78,0.848,0.637,-5.132,0.156,0.0413,0.0521,96.988,222680,0.698
Moonlight,XXXTENTACION,"['emo rap', 'miami hip hop']",83,0.921,0.537,-5.723,0.0804,0.556,0.102,128.009,135090,0.711
Thinking out Loud,Ed Sheeran,"['pop', 'uk pop']",82,0.781,0.445,-6.061,0.0295,0.474,0.184,78.998,281560,0.591
Toosie Slide,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",78,0.834,0.454,-9.75,0.201,0.321,0.114,81.618,247059,0.837
Earned It (Fifty Shades Of Grey),The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",69,0.659,0.291,-8.275,0.0348,0.405,0.0771,119.829,277680,0.406
ily (i love you baby) (feat. Emilee),Surf Mesa,['tropical house'],81,0.674,0.774,-7.567,0.0892,0.0686,0.393,112.05,176547,0.33
Wonderwall,Oasis,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",78,0.375,0.893,-4.097,0.0406,0.000509,0.187,174.323,258773,0.434
Everybody Dies In Their Nightmares,XXXTENTACION,"['emo rap', 'miami hip hop']",83,0.734,0.57,-7.066,0.133,0.847,0.112,129.953,95467,0.689
Bad Boy (with Young Thug),Juice WRLD,"['chicago rap', 'melodic rap']",76,0.697,0.674,-6.326,0.0533,0.00215,0.138,81.535,157355,0.198
Lo Vas A Olvidar (with ROSAL?A),Billie Eilish,"['electropop', 'pop']",68,0.343,0.243,-14.66,0.0777,0.721,0.0668,135.154,203464,0.032
Floating Through Space,"Sia, David Guetta","['australian dance', 'australian pop', 'dance pop', 'pop']",78,0.575,0.844,-4.89,0.072,0.00172,0.114,104.914,177801,0.277
Can't Feel My Face,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",80,0.705,0.769,-5.526,0.0425,0.113,0.105,107.949,213520,0.583
You (with Marshmello & Vance Joy),benny blanco,"['electropop', 'pop', 'pop rap']",73,0.668,0.563,-6.433,0.0522,0.0493,0.119,103.116,169632,0.305
Call Out My Name,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",80,0.461,0.593,-4.954,0.0356,0.17,0.307,134.17,228373,0.175
Midnight Sky,Miley Cyrus,"['dance pop', 'pop', 'post-teen pop']",76,0.705,0.814,-5.466,0.0346,0.00115,0.203,110,223279,0.259
Pressure (feat. Tove Lo),Martin Garrix,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']",76,0.859,0.558,-8.991,0.0902,0.659,0.124,114.978,144391,0.357
Can You Feel My Heart,Bring Me The Horizon,"['melodic metalcore', 'metalcore', 'rock', 'uk metalcore']",77,0.15,0.859,-2.827,0.0595,0.00201,0.387,170.527,228147,0.354
Agua de Jamaica,Maluma,"['latin', 'reggaeton', 'reggaeton colombiano']",75,0.664,0.665,-3.616,0.0879,0.123,0.411,173.961,176970,0.726
Mds,"Kawe, Mc Lele JP","['brazilian hip hop', 'funk ostentacao']",72,0.885,0.561,-5.331,0.249,0.261,0.121,140.02,125143,0.644
Heartless,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",77,0.537,0.746,-5.507,0.15,0.0236,0.156,170.062,198267,0.252
pov,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']",79,0.487,0.534,-5.664,0.0555,0.36,0.1,131.798,201882,0.173
Be Alright,Dean Lewis,"['australian pop', 'indie cafe pop', 'pop', 'pop rock', 'post-teen pop']",80,0.553,0.586,-6.319,0.0362,0.697,0.0813,126.684,196373,0.443
Cry Baby (feat. DaBaby),Megan Thee Stallion,"['houston rap', 'pop', 'pop rap', 'trap queen']",76,0.957,0.437,-7.882,0.359,0.00402,0.219,130.058,137984,0.616
Mi Cuarto,Jerry Di,"['cubaton', 'dominican pop', 'pop venezolano', 'reggaeton', 'reggaeton flow', 'trap latino']",76,0.854,0.525,-4.426,0.214,0.819,0.146,97.054,197587,0.63
Ohne Dich,"KASIMIR1441, badm?mzjay, WILDBWOYS","['german alternative rap', 'german hip hop', 'german trap', 'tekk']",70,0.807,0.535,-6.519,0.349,0.191,0.125,156.013,125720,0.925
